plate,well,site,bf_site,compound,C1,C2,C3,C4,C5,moa
P015076,B16,s2,s1,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s2_w183F2081C-8F03-4C16-8ACB-AA5278F8FA1A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s2_w2E651F976-5268-4C9C-85D3-77A91E495BD9.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s2_w3F1FE5655-4BAF-4295-AB9D-5329A2CACF4E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s2_w4AF9ADF80-2FF6-40D6-B1D5-C2324E5170F3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s2_w5E9AA98BE-5838-435D-90EF-3BEBC69943A4.tif,retinoid receptor agonist
P015076,B16,s4,s2,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s4_w1F45E942A-F27B-4B4D-8DF0-F27F90CFB05F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s4_w2B0A36408-7B6F-49F3-A188-D7B8FF56B84C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s4_w345D4BD98-FB0F-4715-8F39-BA820CBC8B2F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s4_w4CD9DC11F-0A65-4E8E-BDB5-1F5A9D3EFCDB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s4_w5D6F3E1E4-A788-437C-890B-4C0A11838769.tif,retinoid receptor agonist
P015076,B16,s5,s3,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s5_w12C2435D1-555C-486F-9C65-5784A3AC73DC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s5_w2ECB468B4-5C27-486D-A8CC-023FF7BF2254.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s5_w3C90F5966-0104-40BE-84B0-C74A2CAD5DA3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s5_w4365CCCF8-73D5-4247-97F6-14EC4F9E6A23.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s5_w518471902-5140-45F0-8489-0C13B891F9D2.tif,retinoid receptor agonist
P015076,B16,s6,s4,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s6_w1E7F5C17D-C2B8-4F04-AFA9-B94579030AB2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s6_w2081F6A58-9055-4ACA-AA96-85F9C036532B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s6_w31BBB6C74-4C8D-4483-93BD-36151D6A11FB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s6_w453F6B9F4-DB18-4E83-A26C-0ABE2DF8FBAA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s6_w507C8B731-2A4C-42CC-886D-42FB9734E900.tif,retinoid receptor agonist
P015076,B16,s8,s5,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s8_w1B2991636-AA8A-4874-A887-DFAF94C3A8F5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s8_w20FEBDA28-E724-464A-84C0-1BEFDD6E4159.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s8_w37348CD8C-5827-47B0-BE11-53579B01A796.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s8_w4ABFD6CAC-B673-4F80-9050-AB591748C050.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s8_w51B94D889-5F35-4C7F-8296-9FFEE209BB0C.tif,retinoid receptor agonist
P015076,C21,s2,s1,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s2_w1D5EEEB15-318F-49F2-B8A0-1CB79F8FC31B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s2_w2BF2E449C-D9B9-4194-9A63-8F754F8CA916.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s2_w3C595B418-0917-4E00-99B1-9D2998D7A302.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s2_w4671E7A97-F78F-4B00-A93E-8ECF8A1372CC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s2_w55E6C0349-E79D-48E8-9210-3781E808F910.tif,retinoid receptor agonist
P015076,C21,s4,s2,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s4_w1092B7274-DF23-4519-8B93-13A6F3FBE240.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s4_w2A4957278-B26E-4245-B0A6-C7DE9B993E41.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s4_w31C0189CD-485A-4A1D-AAC0-A37EDBE9CFE7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s4_w4C3CE3C9D-A4D1-43ED-B559-EAE546C18D36.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s4_w54F1781DB-DC07-473E-AC5C-99E48C26B357.tif,retinoid receptor agonist
P015076,C21,s5,s3,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s5_w17AAE2467-0F4B-4E80-9953-76C4D4C6BD58.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s5_w2C7E1BDE9-5A27-486E-97C5-6C9A700CD0F1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s5_w367838A08-A65C-45EE-9058-FF02FDFF7A26.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s5_w4770B915D-E1CA-4B31-92DB-938A7E657325.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s5_w5EC3C937C-FB0B-487C-97BB-20C90F2C1835.tif,retinoid receptor agonist
P015076,C21,s6,s4,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s6_w11756996E-0976-480B-B63C-9DB7F90E17AB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s6_w2FDA10F47-F2B8-4F94-888F-0F614EB71736.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s6_w3ED97573F-A6DF-4A16-A77E-E70D7005C4A3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s6_w489257BA5-D27B-4002-ACAD-D4F83EBCD455.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s6_w5ED77FB1E-84B7-4E39-A519-E5592F39660D.tif,retinoid receptor agonist
P015076,C21,s8,s5,CBK277913,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s8_w162F4A869-3E34-4399-8B1F-0F888EE08BE1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s8_w27713A098-1A15-49DF-8D2E-3FC0B62ACB59.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s8_w3CD58E5B2-207F-41C9-84F3-0A630C87BC2D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s8_w47695AA5F-CF69-44B6-8692-F5A432F1B2DD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C21_s8_w5FAC1A628-F48A-458C-BD33-97A3D7A48469.tif,retinoid receptor agonist
